id_product;id_feature;id_feature_value;
"62";"101";"18518";
"62";"102";"18532";
"62";"103";"18527";
"63";"1";"187";
"63";"8";"25";
"63";"9";"27";
"63";"10";"30";
"63";"11";"32";
"63";"13";"40";
"63";"14";"42";
"63";"19";"52";
"63";"21";"56";
"63";"23";"60";
"63";"32";"87";
"63";"36";"92";
"63";"39";"79";
"63";"47";"77";
"63";"48";"74";
"63";"49";"6206";
"63";"54";"176";
"63";"59";"2410";
"63";"66";"2417";
"63";"67";"2418";
"63";"69";"2420";
"63";"73";"2428";
"63";"75";"2425";
"63";"76";"2424";
"63";"77";"2430";
"63";"80";"2450";
"63";"81";"2429";
"63";"82";"2465";
"63";"85";"2466";
"63";"86";"2468";
"63";"95";"2476";
"63";"98";"2479";
"63";"99";"38204";
"63";"100";"38205";
"64";"1";"15";
"64";"8";"25";
"64";"9";"27";
"64";"10";"30";
"64";"13";"40";
"64";"14";"42";
"64";"17";"48";
"64";"21";"56";
"64";"23";"60";
"64";"32";"87";
"64";"39";"79";
"64";"48";"75";
"64";"54";"176";
"64";"59";"2410";
"64";"66";"2417";
"64";"67";"2418";
"64";"69";"2420";
"64";"73";"2428";
"64";"75";"2425";
"64";"76";"2424";
"64";"77";"2430";
"64";"80";"2443";
"64";"81";"2429";
"64";"82";"2465";
"64";"84";"2463";
"64";"85";"2466";
"64";"86";"2468";
"64";"95";"2476";
"64";"98";"2479";
"64";"99";"45991";
"64";"100";"45992";
"65";"1";"127";
"65";"8";"25";
"65";"9";"27";
"65";"10";"30";
"65";"13";"40";
"65";"14";"42";
"65";"17";"48";
"65";"19";"52";
"65";"21";"56";
"65";"23";"60";
"65";"32";"87";
"65";"36";"92";
"65";"39";"79";
"65";"47";"77";
"65";"48";"75";
"65";"49";"133";
"65";"66";"2417";
"65";"67";"2418";
"65";"69";"2420";
"65";"73";"2428";
"65";"75";"2425";
"65";"76";"2424";
"65";"77";"2430";
"65";"80";"2450";
"65";"81";"2429";
"65";"82";"2465";
"65";"85";"2466";
"65";"95";"2476";
"65";"98";"2479";
"65";"99";"35889";
"65";"100";"35890";
"66";"1";"134";
"66";"8";"25";
"66";"9";"27";
"66";"10";"30";
"66";"13";"40";
"66";"14";"42";
"66";"16";"46";
"66";"17";"48";
"66";"23";"60";
"66";"32";"87";
"66";"39";"79";
"66";"47";"77";
"66";"48";"75";
"66";"66";"2417";
"66";"69";"2420";
"66";"73";"2428";
"66";"75";"2425";
"66";"77";"2430";
"66";"80";"2450";
"66";"81";"2429";
"66";"82";"2465";
"66";"85";"2466";
"66";"95";"2476";
"66";"98";"2479";
"66";"99";"60013";
"66";"100";"60014";
"67";"1";"134";
"67";"9";"27";
"67";"10";"30";
"67";"47";"77";
"67";"48";"76";
"67";"49";"117";
"67";"99";"65819";
"67";"100";"65820";
"69";"1";"134";
"69";"8";"25";
"69";"9";"27";
"69";"10";"30";
"69";"13";"40";
"69";"14";"42";
"69";"16";"46";
"69";"17";"48";
"69";"32";"87";
"69";"34";"90";
"69";"39";"79";
"69";"47";"77";
"69";"48";"76";
"69";"54";"177";
"69";"66";"2417";
"69";"75";"2425";
"69";"80";"2450";
"69";"81";"2429";
"69";"85";"2466";
"69";"86";"2468";
"69";"90";"2470";
"69";"95";"2476";
"69";"99";"65921";
"69";"100";"65922";
"70";"1";"134";
"70";"8";"26";
"70";"9";"27";
"70";"10";"30";
"70";"13";"40";
"70";"14";"42";
"70";"17";"48";
"70";"18";"50";
"70";"32";"87";
"70";"46";"99";
"70";"47";"77";
"70";"48";"74";
"70";"66";"2417";
"70";"75";"2425";
"70";"80";"2450";
"70";"81";"2429";
"70";"85";"2466";
"70";"86";"2468";
"70";"90";"2470";
"70";"99";"59411";
"70";"100";"59412";
"72";"1";"134";
"72";"9";"27";
"72";"10";"30";
"72";"13";"40";
"72";"14";"42";
"72";"32";"87";
"72";"47";"77";
"72";"49";"124";
